Country Code,GDP Per Capita (Current US Dollars),Population Ages 15-64 (% of Total)
AFG,561.778746269502,53.5989174986911
AGO,3110.80818263013,50.6908628095137
ALB,4146.89625046198,69.4436888572377
ARB,6153.069547287851,62.3851440372785
ARE,37622.2074575932,85.02810042103171
ARG,12449.216852117701,63.880519337165296
ARM,3606.15205715147,69.0155209763623
ATG,14353.378813874198,69.0520289611046
AUS,49927.8195094751,65.8488024959786
AUT,44176.5152160475,66.87628993896679
AZE,3876.9364326427003,70.9815846708652
BDI,285.727442064713,52.59841752044379
BEL,41096.157302153595,64.6001511307203
BEN,789.4404106856481,53.8984214744666
BFA,649.7304836558351,52.20265452379021
BGD,1358.7797522498,66.0216686480326
BGR,7350.7958008981295,65.4326148209618
BHR,22354.1670706869,77.3655231547653
BHS,23124.3865532472,70.8584676100114
BIH,4708.71826065622,69.6459524751935
BLR,4989.25461056406,68.98129776218289
BLZ,4810.56590199317,64.2423846040648
BOL,3104.9560891409496,61.388872509823294
BRA,8649.94849175062,69.6163989839485
BRB,16096.892587966102,66.2412805793766
BRN,26938.5033823025,72.29014451932441
BTN,2804.00022298565,68.2766228149894
BWA,6788.042745375649,64.5535182601122
CAF,382.213174317687,52.8398098559163
CAN,42157.9279910146,67.4563931451634
CEB,12657.386803706799,67.70670608345701
CHE,78812.65068729849,66.9424032334258
CHL,13792.9260543892,68.7031267989499
CHN,8123.1808725464,72.17655458180091
CIV,1526.1971748425199,54.5129015675653
CMR,1032.6487220445401,53.9314436177805
COD,444.505316815516,50.6338111286692
COG,1528.24483012457,54.2339851508666
COL,5805.60533452459,68.77908826921289
COM,775.080084704756,57.098721595372496
CPV,2997.75267953531,64.9026984950701
CRI,11824.638102000401,68.87027579667111
CSS,8769.64164930723,67.6774330247623
CYP,23324.201735361803,70.0046576220489
CZE,18266.5496886036,66.2458968082679
DEU,41936.0585754956,65.640928159976
DNK,53417.6642756422,63.974810351075895
DOM,6722.223535806121,63.5542663951241
DZA,3843.7523220230396,64.973928024325
EAP,6586.0777441624205,70.5879807231601
EAR,3240.72451541109,64.8772245324578
EAS,9786.46814302823,70.06623687367471
ECA,7136.90129771336,67.8351062216685
ECS,22108.5112817638,66.31897953066111
ECU,5968.98413848511,64.3928178998098
EGY,3514.4900968880797,61.438698271951296
EMU,34866.0960709045,64.7150588607049
ESP,26528.4917900799,66.05511149062039
EST,17574.6873552714,64.65352373666799
ETH,706.757754078087,55.394224219330006
EUU,32058.773584566698,65.1062415473318
FCS,1471.0146505076002,55.703661007642296
FIN,43090.247506299704,62.8442675916187
FJI,5153.35154431659,65.3731808269171
FRA,36854.9682804756,62.4795270260561
FSM,3068.5077713294604,61.86854970124929
GAB,7179.340661153141,59.657255885232
GBR,39899.3883948894,64.0307889938457
GEO,3853.64990352915,66.32186997265251
GHA,1513.4610343274499,57.934681399416505
GIN,508.14507842728796,54.4420327197876
GMB,473.19043627424,52.138851047902406
GNB,620.214764743552,55.4496397528664
GNQ,8333.23826311996,59.781496369188396
GRC,18103.9693224025,65.4626512332753
GRD,9469.21918069658,66.404204366503
GTM,4146.7441286273,59.7483040673859
GUY,4456.55369735494,65.4112294921913
HIC,40677.6835231725,65.99488680647299
HKG,43681.1405799513,73.0221230279769
HND,2361.1576195089497,63.174059272455104
HPC,861.5101555246949,53.6042892474284
HRV,12090.666563570301,65.9913629928333
HTI,739.595436253749,61.94993166062739
HUN,12664.8474351203,67.6336506658631
IBD,5498.82467442429,68.1098337669686
IBT,4435.50834426975,65.36418291584121
IDA,1268.10168071172,57.16218583638829
IDB,1754.20461312359,57.6011391950637
IDN,3570.29488811764,67.14583069337719
IDX,1023.47332008504,56.9446161313092
IND,1709.38792119802,65.996647968568
IRL,61606.482939417,64.7179754544889
IRQ,4609.60069352322,56.347461675499204
ISL,59976.9425653312,65.7573223770882
ISR,37292.6122172917,60.6244662363516
ITA,30527.2682030287,63.6824995509839
JAM,4868.248262607461,67.5307624364231
JOR,4087.9375167203,60.433594104445106
